Location,Date,Event,Person,Category,Scripture,Reference,Certainty,Latitude,Longitude
Rome,65 C.E.,Paul arrives for his second imprisonment and writes his second letter to Timothy.,Paul (Saul),Prisoner,2 Timothy 4:6-8,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Rome,65 C.E.,Paul likely suffers martyrdom at the hands of Nero shortly after his final imprisonment.,Paul (Saul),Apostle,2 Timothy 4:6-8,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Troas,50 C.E.,Luke joins Paul and his party at this seaport following Paul's vision of a man from Macedonia.,Luke,Fellow worker,Acts 16:10,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Troas,50 C.E.,Luke departs by sea for Neapolis in Macedonia with Paul and his companions.,Luke,Fellow worker,Acts 16:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,50 C.E.,Luke arrives in the city and begins sharing in the ministry to the women at the place of prayer.,Luke,Fellow worker,Acts 16:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,51 C.E.,Luke stays in the city to help establish and support the newly formed congregation after Paul departs.,Luke,Fellow worker,Acts 16:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,52 C.E.,Luke remains in the city for several years building up the congregation during Paul's absence.,Luke,Fellow worker,Acts 16:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,53 C.E.,Luke remains in the city for several years building up the congregation during Paul's absence.,Luke,Fellow worker,Acts 16:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,54 C.E.,Luke remains in the city for several years building up the congregation during Paul's absence.,Luke,Fellow worker,Acts 16:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,55 C.E.,Luke remains in the city for several years building up the congregation during Paul's absence.,Luke,Fellow worker,Acts 16:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,56 C.E.,Luke rejoins Paul in the city and helps organize the journey toward Jerusalem.,Luke,Fellow worker,Acts 20:5-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Philippi,56 C.E.,Luke departs from the city by ship on the first leg of the voyage toward Jerusalem.,Luke,Fellow worker,Acts 20:6,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Troas,56 C.E.,Luke arrives and stays for seven days while spiritually building up the local brothers.,Luke,Fellow worker,Acts 20:6,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Troas,56 C.E.,Luke departs by boat with his companions while Paul travels by land to Assos.,Luke,Fellow worker,Acts 20:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Assos,56 C.E.,Luke arrives at the port and takes Paul on board for the continued voyage.,Luke,Fellow worker,Acts 20:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Assos,56 C.E.,Luke departs with his companions and Paul to sail toward Miletus.,Luke,Fellow worker,Acts 20:14-15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Miletus,56 C.E.,Luke arrives and participates in the emotional meeting with the older men from Ephesus.,Luke,Fellow worker,Acts 20:17,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Miletus,56 C.E.,Luke departs by sea after the meeting with the Ephesian elders.,Luke,Fellow worker,Acts 21:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Tyre,56 C.E.,Luke arrives at the Phoenician port and visits with the local disciples for one week.,Luke,Fellow worker,Acts 21:3-4,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Tyre,56 C.E.,Luke departs with the group to continue the journey to Ptolemais.,Luke,Fellow worker,Acts 21:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Ptolemais,56 C.E.,Luke arrives and spends one day greeting the Christian brothers.,Luke,Fellow worker,Acts 21:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Ptolemais,56 C.E.,Luke departs from the city to travel to the home of Philip the evangelizer.,Luke,Fellow worker,Acts 21:8,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Caesarea,56 C.E.,Luke arrives and stays with Philip the evangelizer where Agabus prophesies Paul's arrest.,Luke,Fellow worker,Acts 21:8,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Caesarea,56 C.E.,Luke departs with Paul and several disciples to finalize the trip to Jerusalem.,Luke,Fellow worker,Acts 21:15-16,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Jerusalem,56 C.E.,Luke arrives in the city and visits James and the older men with Paul.,Luke,Fellow worker,Acts 21:17-18,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Jerusalem,56 C.E.,Luke departs for Caesarea following the arrest of Paul in the temple.,Luke,Fellow worker,Acts 23:23-33,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Caesarea,56 C.E.,Luke arrives in the city and likely remains there to research and write his Gospel account.,Luke,Physician,Acts 23:33,https://wol.jw.org/en/wol/d/r1/lp-e/1200002791,1,,
Caesarea,57 C.E.,Luke continues his research and writing while Paul is imprisoned in the city.,Luke,Physician,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002791,1,,
Caesarea,58 C.E.,Luke likely completes the writing of his Gospel account while Paul awaits his appeal to Caesar.,Luke,Physician,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002791,1,,
Caesarea,58 C.E.,Luke departs on a ship bound for Italy as a companion to the prisoner Paul.,Luke,Fellow worker,Acts 27:1-2,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Sidon,58 C.E.,Luke arrives and observes Paul being permitted to receive kind treatment from his friends.,Luke,Fellow worker,Acts 27:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Sidon,58 C.E.,Luke departs with the company and sails along the coast toward Myra.,Luke,Fellow worker,Acts 27:4,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Myra,58 C.E.,Luke arrives at the port and transfers to an Alexandrian ship carrying grain.,Luke,Fellow worker,Acts 27:5-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Myra,58 C.E.,Luke departs and sails slowly for many days until reaching Cnidus.,Luke,Fellow worker,Acts 27:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Cnidus,58 C.E.,Luke arrives near the coast but is forced southward toward Crete by strong winds.,Luke,Fellow worker,Acts 27:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Cnidus,58 C.E.,Luke departs toward Crete and sails with difficulty past Salmone.,Luke,Fellow worker,Acts 27:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Fair Havens,58 C.E.,Luke arrives and waits while the harbor is deemed unsuitable for wintering.,Luke,Fellow worker,Acts 27:8-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Fair Havens,58 C.E.,Luke departs as the crew attempts to reach Phoenix but is caught in a violent storm.,Luke,Fellow worker,Acts 27:13-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Malta,58 C.E.,Luke survives a violent shipwreck on the island and remains there for three months.,Luke,Physician,Acts 28:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Malta,59 C.E.,Luke departs on a ship from Alexandria that had wintered on the island.,Luke,Fellow worker,Acts 28:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Syracuse,59 C.E.,Luke arrives and stays for three days before sailing on.,Luke,Fellow worker,Acts 28:12,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Syracuse,59 C.E.,Luke departs for Rhegium at the tip of Italy.,Luke,Fellow worker,Acts 28:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rhegium,59 C.E.,Luke arrives at the port.,Luke,Fellow worker,Acts 28:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rhegium,59 C.E.,Luke departs and sails toward the Bay of Pozzuoli.,Luke,Fellow worker,Acts 28:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Puteoli,59 C.E.,Luke arrives and spends one week staying with the local congregation.,Luke,Fellow worker,Acts 28:13-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Puteoli,59 C.E.,Luke departs and travels on foot toward the city of Rome.,Luke,Fellow worker,Acts 28:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Marketplace of Appius,59 C.E.,Luke arrives and meets a group of Christian brothers who came out to greet them.,Luke,Fellow worker,Acts 28:15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Marketplace of Appius,59 C.E.,Luke departs with the group and the new companions to continue the trek.,Luke,Fellow worker,Acts 28:15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Three Taverns,59 C.E.,Luke arrives and stays briefly at this station on the Appian Way.,Luke,Fellow worker,Acts 28:15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Three Taverns,59 C.E.,Luke departs for the final leg of the journey into the city.,Luke,Fellow worker,Acts 28:15,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rome,59 C.E.,Luke arrives in the city where Paul is permitted to stay in his own hired house.,Luke,Fellow worker,Acts 28:16,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rome,60 C.E.,Luke stays with Paul during his imprisonment and likely begins writing the book of Acts.,Luke,Physician,Acts 28:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rome,61 C.E.,Luke likely completes the book of Acts toward the close of Paul's two-year stay in Rome.,Luke,Physician,Acts 28:30-31,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Rome,65 C.E.,Luke remains the only constant companion of Paul during the apostle's final imprisonment.,Luke,Fellow worker,2 Timothy 4:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200002790,1,,
Gethsemane,33 C.E.,Mark follows Jesus nearby wearing a fine linen garment but flees naked when the crowd tries to seize him.,Mark (John Mark),Disciple,Mark 14:51-52,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Jerusalem,33 C.E.,Mark meets with the early Christian congregation at the home of his mother Mary.,Mark (John Mark),Disciple,Acts 12:12,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Jerusalem,46 C.E.,Mark departs for Syrian Antioch with Barnabas and Saul after they complete their relief ministration.,Mark (John Mark),Disciple,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Antioch,46 C.E.,Mark arrives in Syrian Antioch with his cousin Barnabas and Paul to assist in the ministry.,Mark (John Mark),Disciple,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Antioch,47 C.E.,Mark departs from Antioch with Paul and Barnabas on their first missionary tour.,Mark (John Mark),Attendant,Acts 13:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Seleucia,47 C.E.,Mark arrives at the port of Seleucia to prepare for the voyage to Cyprus.,Mark (John Mark),Attendant,Acts 13:4,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Seleucia,47 C.E.,Mark sails away to Cyprus with Barnabas and Saul to proclaim the word of God.,Mark (John Mark),Attendant,Acts 13:4,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Salamis,47 C.E.,Mark arrives on Cyprus and assists his companions as they preach in the synagogues.,Mark (John Mark),Attendant,Acts 13:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Salamis,47 C.E.,Mark departs for Paphos while traveling through the whole island with Barnabas and Saul.,Mark (John Mark),Attendant,Acts 13:6,https://wol.jw.org/en/wol/d/r1/lp-e/1001070702,1,,
Paphos,47 C.E.,Mark arrives at the provincial capital and is present when the proconsul Sergius Paulus becomes a believer.,Mark (John Mark),Attendant,Acts 13:6,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Paphos,47 C.E.,Mark puts out to sea from Paphos with his companions for the coast of Asia Minor.,Mark (John Mark),Attendant,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Perga,47 C.E.,Mark arrives in Pamphylia where he decides to leave his companions and return home.,Mark (John Mark),Attendant,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Perga,47 C.E.,Mark departs from the missionary group in Asia Minor to return to his family in Jerusalem.,Mark (John Mark),Disciple,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Jerusalem,47 C.E.,Mark arrives back in Jerusalem after his withdrawal from the first missionary tour.,Mark (John Mark),Disciple,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Antioch,49 C.E.,Mark departs for Cyprus with Barnabas after a sharp burst of anger separates Barnabas from Paul.,Mark (John Mark),Disciple,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Cyprus,49 C.E.,Mark arrives on the island of Cyprus with Barnabas to continue their missionary service.,Mark (John Mark),Disciple,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200002902,1,,
Rome,60 C.E.,Mark is with the imprisoned apostle Paul and serves as a strengthening aid and source of comfort.,Mark (John Mark),Helper,Colossians 4:10,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,60 C.E.,Mark is in the process of composing his Gospel account which presents Jesus as a man of action.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,61 C.E.,Mark remains with Paul during his first imprisonment and is highly regarded for his service.,Mark (John Mark),Helper,Philemon 24,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,61 C.E.,Mark is in the process of composing his Gospel account which presents Jesus as a man of action.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Babylon,62 C.E.,Mark is in close association with the apostle Peter in Babylon and sends greetings to fellow Christians.,Mark (John Mark),Helper,1 Peter 5:13,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,62 C.E.,Mark likely continues working on the Gospel account bearing his name.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Babylon,63 C.E.,Mark remains in Babylon where he serves as a valuable help to the apostle Peter.,Mark (John Mark),Helper,1 Peter 5:13,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,63 C.E.,Mark likely continues working on the Gospel account bearing his name.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Babylon,64 C.E.,Mark is associated with the apostle Peter in Babylon who addresses him affectionately as his son.,Mark (John Mark),Helper,1 Peter 5:13,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,64 C.E.,Mark likely continues working on the Gospel account bearing his name.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Babylon,65 C.E.,Mark departs for Rome to rejoin the apostle Paul at his request.,Mark (John Mark),Disciple,2 Timothy 4:11,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,65 C.E.,Mark arrives in Rome to assist Paul during his second imprisonment and is considered useful for ministering.,Mark (John Mark),Helper,2 Timothy 4:11,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Rome,65 C.E.,Mark completes his Gospel account while in Rome sometime during this year.,Mark (John Mark),Writer,Mark 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1101990102,1,,
Jerusalem,33 C.E.,"Joseph, surnamed Barnabas, sells a piece of land he owned and deposits the money at the feet of the apostles.",Barnabas (Joseph),Disciple,Acts 4:36-37,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,36 C.E.,Barnabas comes to the aid of Saul and leads him to the apostles to confirm the details of his conversion.,Barnabas (Joseph),Disciple,Acts 9:27,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,45 C.E.,Barnabas is sent out by the congregation in Jerusalem to travel as far as Antioch.,Barnabas (Joseph),Apostle,Acts 11:22,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,45 C.E.,Barnabas arrives in Syrian Antioch and begins to encourage the new believers to continue in the Lord with heartfelt resolve.,Barnabas (Joseph),Apostle,Acts 11:23,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,45 C.E.,Barnabas departs from the city to travel to Tarsus to make a thorough search for Saul.,Barnabas (Joseph),Apostle,Acts 11:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Tarsus,45 C.E.,Barnabas arrives in his hometown to find Saul and persuades him to help out in the ministry.,Barnabas (Joseph),Apostle,Acts 11:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Tarsus,45 C.E.,Barnabas departs from Tarsus and brings Saul back to Antioch.,Barnabas (Joseph),Apostle,Acts 11:26,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,45 C.E.,Barnabas arrives in the city with Saul and they teach a considerable crowd in the congregation for a whole year.,Barnabas (Joseph),Apostle,Acts 11:26,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,46 C.E.,Barnabas departs for Jerusalem with Saul to carry out a relief ministration due to a major famine.,Barnabas (Joseph),Apostle,Acts 11:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,46 C.E.,Barnabas arrives in the city and completes the relief work before returning to Antioch.,Barnabas (Joseph),Apostle,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,46 C.E.,Barnabas departs from the city and takes along John Mark.,Barnabas (Joseph),Apostle,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,46 C.E.,Barnabas arrives back at his home base accompanied by Saul and John Mark.,Barnabas (Joseph),Apostle,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,47 C.E.,Barnabas is set aside by holy spirit and sent off on a missionary tour with Saul.,Barnabas (Joseph),Apostle,Acts 13:2-3,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Seleucia,47 C.E.,Barnabas arrives at the port town and sails away for the island of Cyprus.,Barnabas (Joseph),Apostle,Acts 13:4,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Salamis,47 C.E.,Barnabas arrives on Cyprus and begins proclaiming the word of God in the synagogues of the Jews.,Barnabas (Joseph),Apostle,Acts 13:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Paphos,47 C.E.,Barnabas arrives at the provincial capital where the proconsul Sergius Paulus is converted to Christianity.,Barnabas (Joseph),Apostle,Acts 13:6-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Paphos,47 C.E.,Barnabas and his companions put out to sea from Paphos to travel toward Asia Minor.,Barnabas (Joseph),Apostle,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Perga,47 C.E.,Barnabas arrives in Pamphylia where John Mark leaves his companions to return to Jerusalem.,Barnabas (Joseph),Apostle,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Perga,47 C.E.,Barnabas departs from Perga to travel toward Antioch in Pisidia.,Barnabas (Joseph),Apostle,Acts 13:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch in Pisidia,47 C.E.,Barnabas arrives in the city and finding much interest he preaches in the synagogue on the Sabbath.,Barnabas (Joseph),Apostle,Acts 13:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch in Pisidia,48 C.E.,Barnabas is thrown out of the city due to Jewish instigation and departs for Iconium.,Barnabas (Joseph),Apostle,Acts 13:50-51,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Iconium,48 C.E.,Barnabas arrives and speaks in the synagogue helping many Jews and Greeks to become believers.,Barnabas (Joseph),Apostle,Acts 14:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Iconium,48 C.E.,Barnabas departs for Lystra after learning of a plot by the Jews to stone him and Paul.,Barnabas (Joseph),Apostle,Acts 14:5-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Lystra,48 C.E.,Barnabas arrives and is mistaken for the god Zeus by the crowds after the healing of a lame man.,Barnabas (Joseph),Apostle,Acts 14:8-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Lystra,48 C.E.,Barnabas survives the persecution and departs for Derbe the following day.,Barnabas (Joseph),Apostle,Acts 14:20,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Derbe,48 C.E.,Barnabas arrives and helps make quite a few disciples through his preaching of the good news.,Barnabas (Joseph),Apostle,Acts 14:20-21,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Derbe,48 C.E.,"Barnabas departs from the city to return to Lystra, Iconium, and Antioch to strengthen the disciples.",Barnabas (Joseph),Apostle,Acts 14:21,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Attalia,48 C.E.,Barnabas arrives at the port town and departs by ship for Antioch in Syria.,Barnabas (Joseph),Apostle,Acts 14:25-26,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,48 C.E.,Barnabas arrives back at his home base and reports to the congregation how God had opened the door of faith to the nations.,Barnabas (Joseph),Apostle,Acts 14:26-27,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,49 C.E.,Barnabas departs for Jerusalem with Paul to settle a dispute regarding the circumcision of non-Jewish believers.,Barnabas (Joseph),Apostle,Acts 15:2,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,49 C.E.,Barnabas arrives and relates the many signs and wonders God had done through them among the nations.,Barnabas (Joseph),Apostle,Acts 15:4-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,49 C.E.,Barnabas departs for Antioch to deliver the letter containing the decision from the governing body.,Barnabas (Joseph),Apostle,Acts 15:22-30,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,49 C.E.,Barnabas arrives back and spends some time teaching and declaring the good news.,Barnabas (Joseph),Apostle,Acts 15:30-35,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,49 C.E.,Barnabas is led astray and joins other Jews in putting on a pretense when Peter separates himself from non-Jewish believers.,Barnabas (Joseph),Apostle,Galatians 2:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,49 C.E.,Barnabas is determined to take John Mark on a tour but departs separately after a sharp burst of anger with Paul.,Barnabas (Joseph),Apostle,Acts 15:37-39,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Antioch,49 C.E.,Barnabas takes Mark along and sails away from the city to travel to Cyprus.,Barnabas (Joseph),Apostle,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Cyprus,49 C.E.,Barnabas arrives on his home island with his cousin Mark to continue his evangelizing work.,Barnabas (Joseph),Apostle,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Cyprus,50 C.E.,Barnabas continues to do further evangelizing work on the island with John Mark.,Barnabas (Joseph),Apostle,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Cyprus,51 C.E.,Barnabas continues to do further evangelizing work on the island with John Mark.,Barnabas (Joseph),Apostle,Acts 15:39,https://wol.jw.org/en/wol/d/r1/lp-e/1200000566,1,,
Jerusalem,49 C.E.,Silas is chosen by the apostles and elders to accompany Paul and Barnabas to Antioch.,Silas (Silvanus),Leading man,Acts 15:22,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Antioch,49 C.E.,Silas arrives in Antioch to deliver the letter containing the governing body's decision on circumcision.,Silas (Silvanus),Prophet,Acts 15:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Antioch,49 C.E.,Silas encourages the brothers in Antioch with many talks and strengthens them.,Silas (Silvanus),Prophet,Acts 15:32,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Antioch,49 C.E.,Silas is selected by Paul and departs on a missionary tour through Syria and Cilicia.,Silas (Silvanus),Prophet,Acts 15:40,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Syria,49 C.E.,Silas departs through Syria with Paul to strengthen the congregations.,Silas (Silvanus),Prophet,Acts 15:41,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Cilicia,49 C.E.,Silas travels through Cilicia with Paul to strengthen the congregations.,Silas (Silvanus),Prophet,Acts 15:41,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Troas,50 C.E.,Silas departs from the seaport of Troas to sail for Macedonia in Europe.,Silas (Silvanus),Fellow worker,Acts 16:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Neapolis,50 C.E.,Silas arrives in Macedonia at the seaport of Neapolis.,Silas (Silvanus),Fellow worker,Acts 16:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Philippi,50 C.E.,Silas arrives in the Roman colony of Philippi to preach the good news.,Silas (Silvanus),Fellow worker,Acts 16:12,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Philippi,50 C.E.,Silas is seized and beaten with rods by order of the civil magistrates.,Silas (Silvanus),Fellow worker,Acts 16:19-23,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Philippi,50 C.E.,Silas is thrown into prison and has his feet made fast in stocks.,Silas (Silvanus),Fellow worker,Acts 16:24,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Philippi,50 C.E.,Silas is miraculously freed by an earthquake while praying and singing praises to God in prison.,Silas (Silvanus),Fellow worker,Acts 16:25-26,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Philippi,50 C.E.,Silas departs from Philippi after the civil magistrates personally release him.,Silas (Silvanus),Fellow worker,Acts 16:39-40,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Thessalonica,50 C.E.,Silas arrives in the thriving metropolis of Thessalonica and reasons from the Scriptures in the synagogue.,Silas (Silvanus),Fellow worker,Acts 17:1-4,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Thessalonica,50 C.E.,Silas departs for Beroea by night to escape a mob of idlers from the marketplace.,Silas (Silvanus),Fellow worker,Acts 17:10,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Beroea,50 C.E.,Silas arrives in Beroea and remains behind to care for the new group of believers.,Silas (Silvanus),Fellow worker,Acts 17:10-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Beroea,50 C.E.,Silas departs from Beroea to rejoin Paul in Corinth.,Silas (Silvanus),Fellow worker,Acts 18:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Corinth,50 C.E.,Silas arrives in Corinth and assists Paul in establishing a congregation.,Silas (Silvanus),Fellow worker,Acts 18:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Corinth,50 C.E.,Silvanus joins Paul and Timothy in writing the first letter to the Thessalonians.,Silas (Silvanus),Fellow worker,1 Thessalonians 1:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
Corinth,51 C.E.,Silas remains in Corinth teaching the word of God among the people.,Silas (Silvanus),Fellow worker,Acts 18:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200004118,1,,
